City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Beloha,98,MG,1570871370,42,-25.17,45.06,85.69,8.71
Payo,100,ID,1570871370,37,-3.75,103.64,86.61,5.9
New Norfolk,20,AU,1570871370,57,-42.78,147.06,50.0,9.17
Port Elizabeth,1,US,1570871371,87,39.31,-74.98,57.99,3.36
Ternate,20,PH,1570871371,70,14.29,120.72,88.0,11.41
Kodiak,1,US,1570871371,86,39.95,-94.76,32.0,6.93
San Antonio,75,CL,1570871371,93,-33.58,-71.61,51.8,4.7
Guanajuato,70,MX,1570871372,87,21.02,-101.25,60.01,7.91
Torbay,75,CA,1570871374,93,47.66,-52.73,42.01,8.05
Hobart,20,AU,1570871374,57,-42.88,147.33,50.0,9.17
Xichang,98,CN,1570871374,86,27.88,102.25,52.83,4.05
Baykit,0,RU,1570871375,43,61.68,96.39,32.86,2.5
Sao Filipe,8,CV,1570871375,83,14.9,-24.5,77.14,9.34
Ushuaia,75,AR,1570871375,95,-54.81,-68.31,32.0,26.4
Ribeira Grande,40,PT,1570871376,67,38.52,-28.7,59.0,11.41
Kavieng,100,PG,1570871376,64,-2.57,150.8,85.69,3.73
Thompson,90,CA,1570871376,76,55.74,-97.86,32.0,19.46
Cape Town,20,ZA,1570871377,55,-33.93,18.42,70.0,21.92
Turan,0,RU,1570871377,23,52.15,93.92,44.78,4.52
Butaritari,67,KI,1570871377,71,3.07,172.79,85.17,11.14
Srandakan,97,ID,1570871377,63,-7.94,110.25,81.45,13.18
Puerto Ayora,40,EC,1570871378,92,-0.74,-90.35,63.0,1.01
Port Alfred,77,ZA,1570871378,72,-33.59,26.89,70.0,5.99
Iwanai,100,JP,1570871379,76,42.97,140.51,48.15,8.25
Rikitea,99,PF,1570871379,71,-23.12,-134.97,68.99,10.55
Thunder Bay,90,CA,1570871380,80,48.41,-89.26,35.6,5.82
Hermanus,100,ZA,1570871381,63,-34.42,19.24,70.0,3.0
Toamasina,20,MG,1570871381,65,-18.17,49.38,82.4,8.05
Vila Velha,7,BR,1570871381,78,-3.71,-38.6,77.0,8.05
El Estor,100,GT,1570871381,97,15.53,-89.34,67.96,2.05
Chapais,1,CA,1570871382,52,49.78,-74.86,46.4,11.41
Kanniyakumari,5,IN,1570871382,78,8.08,77.57,80.38,5.47
Karwar,0,IN,1570871383,73,14.8,74.13,84.15,9.53
Busselton,0,AU,1570871383,34,-33.64,115.35,64.0,17.18
Horta,40,BR,1570871383,78,-10.93,-37.66,78.8,11.41
Vitim,100,RU,1570871383,74,59.44,112.57,24.8,6.02
Mahebourg,75,MU,1570871384,61,-20.41,57.7,80.6,16.11
Pangkalanbuun,100,ID,1570871384,69,-2.68,111.62,84.79,3.97
Buckeye,1,US,1570871384,18,33.37,-112.58,71.01,6.93
Castro,75,CL,1570871385,81,-42.48,-73.76,42.8,8.05
Hithadhoo,100,MV,1570871385,94,-0.6,73.08,76.44,8.67
Vao,85,EE,1570871385,81,59.1,26.19,50.23,15.78
Severo-Kurilsk,97,RU,1570871386,95,50.68,156.12,45.23,11.0
Kudahuvadhoo,98,MV,1570871386,69,2.67,72.89,82.47,1.69
Punta Arenas,20,CL,1570871387,72,-53.16,-70.91,32.0,18.34
Sulangan,100,PH,1570871387,67,11.14,123.72,83.84,4.96
San Rafael,31,AR,1570871387,37,-34.61,-68.33,56.62,4.44
Iqaluit,90,CA,1570871387,69,63.75,-68.52,33.8,6.93
Khingansk,0,RU,1570871388,45,49.12,131.18,28.83,4.54
Diu,0,IN,1570871388,69,20.71,70.98,85.32,9.34
Hasaki,75,JP,1570871388,94,35.73,140.83,77.0,29.97
Brae,80,GB,1570871388,87,60.4,-1.35,53.6,3.36
Kapaa,90,US,1570871389,94,22.08,-159.32,78.8,8.05
Bluff,0,AU,1570871389,21,-23.58,149.07,72.93,2.47
Llanes,67,ES,1570871389,97,43.42,-4.75,64.0,8.96
Esperance,90,AU,1570871389,82,-33.86,121.89,59.0,11.41
Ponta do Sol,100,BR,1570871390,82,-20.63,-46.0,64.27,2.02
Hobyo,57,SO,1570871390,59,5.35,48.53,86.88,12.59
Homer,75,US,1570871390,74,59.64,-151.54,41.0,6.93
Atuona,0,PF,1570871390,64,-9.8,-139.03,78.46,10.11
Vaini,40,IN,1570871391,62,15.34,74.49,84.2,6.93
Mount Gambier,80,AU,1570871391,59,-37.83,140.78,64.4,9.17
Dubbo,90,AU,1570871391,82,-32.25,148.6,55.4,13.87
