City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,100,CA,1570607340,72,69.44,-133.03,33.17,7.71
Kodiak,1,US,1570607340,87,39.95,-94.76,55.99,8.05
Talnakh,0,RU,1570607342,58,69.49,88.39,30.2,8.95
Hobart,90,AU,1570607343,71,-42.88,147.33,52.0,11.41
Castro,90,CL,1570607343,100,-42.48,-73.76,46.4,11.41
Airai,100,TL,1570607344,60,-8.93,125.41,72.95,5.55
Punta Arenas,40,CL,1570607344,65,-53.16,-70.91,41.0,29.97
Port Alberni,20,CA,1570607344,36,49.24,-124.81,45.0,12.75
Clyde River,1,CA,1570607344,85,70.47,-68.59,21.2,4.7
Kobryn,90,BY,1570607345,93,52.21,24.36,48.2,11.18
Busselton,100,AU,1570607345,37,-33.64,115.35,77.0,7.69
Shingu,0,JP,1570607345,47,33.72,135.99,75.2,11.41
Isangel,34,VU,1570607346,79,-19.55,169.27,74.21,10.8
Meulaboh,100,ID,1570607346,82,4.14,96.13,79.07,6.6
Verkh-Usugli,97,RU,1570607346,56,52.7,115.17,31.73,9.33
Khashuri,100,GE,1570607346,95,42.0,43.6,54.23,7.27
Germantown,1,US,1570607347,93,43.23,-88.11,55.99,6.71
Ushuaia,90,AR,1570607347,80,-54.81,-68.31,35.6,29.97
Inirida,98,CO,1570607347,98,3.87,-67.92,71.71,0.6
Sibu,75,MY,1570607348,62,2.29,111.83,87.8,2.24
Bluff,0,AU,1570607348,20,-23.58,149.07,76.01,12.8
Micheweni,99,TZ,1570607348,78,-4.97,39.83,80.33,10.83
Mayumba,100,GA,1570607349,88,-3.44,10.65,75.83,10.76
Rikitea,100,PF,1570607349,82,-23.12,-134.97,66.65,7.67
Albany,40,US,1570607349,81,42.65,-73.75,46.99,4.7
Faanui,99,PF,1570607349,84,-16.48,-151.75,75.83,24.19
Sechura,84,PE,1570607350,89,-5.56,-80.82,60.89,7.54
Keita,69,NG,1570607350,74,7.1,3.65,82.71,1.74
Mount Isa,0,AU,1570607350,8,-20.73,139.49,89.6,17.22
Ilulissat,55,GL,1570607351,50,69.22,-51.1,28.4,9.17
Los Llanos de Aridane,75,ES,1570607351,64,28.66,-17.92,71.6,12.75
Plettenberg Bay,100,ZA,1570607351,82,-34.05,23.37,55.85,9.48
Mareeba,72,AU,1570607351,74,-16.99,145.42,82.0,6.93
Zigong,100,CN,1570607352,81,29.34,104.78,65.57,7.0
Sosnovo-Ozerskoye,18,RU,1570607352,45,52.53,111.54,31.37,19.48
Guerrero Negro,2,MX,1570607352,81,27.97,-114.04,65.75,8.97
Gat,75,SN,1570607352,94,14.69,-16.54,80.6,4.7
Saldanha,0,PT,1570607353,63,41.42,-6.55,55.67,4.07
Pimentel,97,BR,1570607353,95,-3.7,-45.5,71.69,1.84
Jamestown,0,AU,1570607353,50,-33.21,138.6,54.23,6.73
Yulara,0,AU,1570607354,8,-25.24,130.99,87.8,6.93
Ust-Ilimsk,100,RU,1570607354,55,57.96,102.73,28.49,11.32
Arraial do Cabo,100,BR,1570607355,96,-22.97,-42.02,69.89,18.92
East London,20,ZA,1570607355,68,-33.02,27.91,68.0,16.11
Butaritari,0,KI,1570607355,67,3.07,172.79,85.55,11.1
Tucurui,87,BR,1570607356,90,-3.77,-49.67,73.89,5.92
Hilo,1,US,1570607356,73,19.71,-155.08,75.2,5.82
Atar,99,MR,1570607356,10,20.52,-13.05,89.69,10.98
Vaini,75,IN,1570607357,88,15.34,74.49,84.2,9.17
Yabrud,0,SY,1570607357,40,33.97,36.66,71.6,4.7
Kruisfontein,100,ZA,1570607357,76,-34.0,24.73,56.39,19.95
Saint George,75,GR,1570607358,100,39.45,22.34,60.8,5.82
New Norfolk,90,AU,1570607358,71,-42.78,147.06,52.0,11.41
Limbang,75,BN,1570607359,62,4.75,115.01,89.6,8.05
Kaitangata,100,NZ,1570607359,93,-46.28,169.85,50.0,5.99
Elmadag,20,TR,1570607359,62,39.92,33.23,59.0,3.36
Mataura,100,NZ,1570607359,98,-46.19,168.86,50.0,1.99
Mar del Plata,1,AR,1570607360,60,-46.43,-67.52,43.07,23.44
Yaan,65,NG,1570607361,79,7.38,8.57,79.79,4.97
Bathsheba,20,BB,1570607361,74,13.22,-59.52,82.4,16.11
Upernavik,0,GL,1570607361,47,72.79,-56.15,30.83,6.13
Pasni,0,PK,1570607362,24,25.26,63.48,99.45,6.71
Pevek,100,RU,1570607362,86,69.7,170.27,29.97,11.34
Jinchang,99,CN,1570607363,46,38.52,102.19,52.97,11.74
Leninskoye,0,RU,1570607363,44,54.82,82.85,59.0,6.71
Nanakuli,40,US,1570607364,65,21.39,-158.15,80.6,5.82
Cape Town,75,ZA,1570607364,58,-33.93,18.42,63.0,16.11
Alice Springs,0,AU,1570607364,10,-23.7,133.88,80.6,10.29
Barrow,88,AR,1570607365,60,-38.31,-60.23,49.05,14.73
Fairbanks,90,US,1570607365,93,64.84,-147.72,35.6,2.54
Tourlaville,91,FR,1570607365,93,49.64,-1.57,63.0,14.99
Yinchuan,95,CN,1570607366,44,38.48,106.21,62.01,1.01
Baie-Comeau,1,CA,1570607366,100,49.22,-68.15,37.4,3.36
Fort Nelson,20,CA,1570607366,63,58.81,-122.69,28.4,8.05
Kavieng,11,PG,1570607366,71,-2.57,150.8,85.37,8.06
Kemise,0,ET,1570607367,45,10.72,39.87,77.09,7.93
Sinnamary,33,GF,1570607367,83,5.38,-52.96,79.61,14.47
Atuona,1,PF,1570607367,71,-9.8,-139.03,78.89,9.3
Hermanus,86,ZA,1570607368,70,-34.42,19.24,57.99,5.99
Hay River,90,CA,1570607368,69,60.82,-115.79,33.8,19.46
Lucapa,100,AO,1570607368,58,-8.42,20.74,81.95,5.64
Presidencia Roque Saenz Pena,0,AR,1570607369,69,-26.79,-60.44,59.99,5.61
Vytegra,99,RU,1570607369,95,61.01,36.45,39.47,17.92
